PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kilpatrick, Adam D.; Warren-Smith, Stephen C.; Read, John L.; Lewis, Megan M.; Ostendorf, Bertram								Cross-fence comparisons: Theory for spatially comprehensive, controlled variable assessment of treatment effects in managed landscapes								ECOLOGICAL INFORMATICS				6	2			170	176		10.1016/j.ecoinf.2010.10.001			MAR 2011	2011										4							WOS:000288727800010		
J	Poorazizi, M. E.; Alesheikh, A. A.								Monitoring real-time environmental information using Web 2.0 and GIServices technology								INTERNATIONAL JOURNAL OF CIVIL ENGINEERING				9	1			63	70					MAR 2011	2011										1							WOS:000288718900009		
J	Alhusban, Abdulhakim; Al-Shorman, Abdulla								The Social, Political and Economic Functions of Courtyard Houses in Umm Qais, Northern Jordan								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				15	1			1	9		10.1007/s10761-010-0126-6			MAR 2011	2011										1							WOS:000287330200001		
J	Loch-Dehbi, Sandra; Pluemer, Lutz								Automatic reasoning for geometric constraints in 3D city models with uncertain observations								ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING				66	2			177	187		10.1016/j.isprsjprs.2010.12.003			MAR 2011	2011										11							WOS:000288628000004		
J	Dubovyk, Olena; Sliuzas, Richard; Flacke, Johannes								Spatio-temporal modelling of informal settlement development in Sancaktepe district, Istanbul, Turkey								ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING				66	2			235	246		10.1016/j.isprsjprs.2010.10.002			MAR 2011	2011										34							WOS:000288628000009		
J	Kaimaris, Dimitris; Sylaiou, Stella; Georgoula, Olga; Patias, Petros								GIS of landmarks management								JOURNAL OF CULTURAL HERITAGE				12	1			65	73		10.1016/j.culher.2010.09.001			MAR 2011	2011										4							WOS:000287474500008		
J	Rojas-Sola, Jose Ignacio; Castro-Garcia, Miguel; del Pilar Carranza-Canadas, Mara								Content management system incorporated in a virtual museum hosting								JOURNAL OF CULTURAL HERITAGE				12	1			74	81		10.1016/j.culher.2010.10.004			MAR 2011	2011										9							WOS:000287474500009		
J	Yang, Guifang; Yang, Zhen; Zhang, Xujiao; Tian, Mingzhong; Chen, Anze; Ge, Zhiliang; Ping, Yamin; Ni, Zhiyun								RS-based geomorphic analysis of Zhangjiajie Sandstone Peak Forest Geopark, China								JOURNAL OF CULTURAL HERITAGE				12	1			88	97		10.1016/j.culher.2010.07.001			MAR 2011	2011										3							WOS:000287474500011		
J	Pathak, Dhundi Raj; Hiratsuka, Akira								An integrated GIS based fuzzy pattern recognition model to compute groundwater vulnerability index for decision making								JOURNAL OF HYDRO-ENVIRONMENT RESEARCH				5	1			63	77		10.1016/j.jher.2009.10.015			MAR 2011	2011										28							WOS:000288588100007		
J	Conforti, Massimo; Aucelli, Pietro P. C.; Robustelli, Gaetano; Scarciglia, Fabio								Geomorphology and GIS analysis for mapping gully erosion susceptibility in the Turbolo stream catchment (Northern Calabria, Italy)								NATURAL HAZARDS				56	3			881	898		10.1007/s11069-010-9598-2			MAR 2011	2011										47							WOS:000288624400025		
J	Ward, P. J.; Marfai, M. A.; Yulianto, F.; Hizbaron, D. R.; Aerts, J. C. J. H.								Coastal inundation and damage exposure estimation: a case study for Jakarta								NATURAL HAZARDS				56	3			899	916		10.1007/s11069-010-9599-1			MAR 2011	2011										43							WOS:000288624400026		
J	Novak, David C.; Hodgdon, Christopher; Guo, Feng; Aultman-Hall, Lisa								Nationwide Freight Generation Models: A Spatial Regression Approach								NETWORKS & SPATIAL ECONOMICS				11	1			23	41		10.1007/s11067-008-9079-2			MAR 2011	2011										9							WOS:000288713800002		
J	Machiwal, Deepesh; Jha, Madan K.; Mal, Bimal C.								Assessment of Groundwater Potential in a Semi-Arid Region of India Using Remote Sensing, GIS and MCDM Techniques								WATER RESOURCES MANAGEMENT				25	5			1359	1386		10.1007/s11269-010-9749-y			MAR 2011	2011										73							WOS:000288392300008		
J	Nuvolone, Daniela; della Maggiore, Roberto; Maio, Sara; Fresco, Roberto; Baldacci, Sandra; Carrozzi, Laura; Pistelli, Francesco; Viegi, Giovanni								Geographical information system and environmental epidemiology: a cross-sectional spatial analysis of the effects of traffic-related air pollution on population respiratory health								ENVIRONMENTAL HEALTH				10						12	10.1186/1476-069X-10-12			MAR 1 2011	2011										29							WOS:000288333400001		
J	Larsen, Jacob; El-Geneidy, Ahmed								A travel behavior analysis of urban cycling facilities in Montreal Canada								TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT				16	2			172	177		10.1016/j.trd.2010.07.011			MAR 2011	2011										30							WOS:000286997200010		
J	Mungrue, Kameel; Mahabir, Ron								The Rabies Epidemic in Trinidad of 1923 to 1937: An Evaluation with a Geographic Information System								WILDERNESS & ENVIRONMENTAL MEDICINE				22	1			28	36		10.1016/j.wem.2010.11.001			SPR 2011	2011										5							WOS:000288342900005		
J	Asensio, C.; Ruiz, M.; Pavon, I.; Ausejo, M.; Recuero, M.								Uncertainty in Noise Maps Isolines: The Effect of the Sampling Grid								ACTA ACUSTICA UNITED WITH ACUSTICA				97	2			237	242		10.3813/AAA.918403			MAR-APR 2011	2011										5							WOS:000288130700007		
